variant,N,block,threads,run,time_sec,verified
BMM64,4096,64,10,3,1.544341087,1
BMM64,4096,64,10,4,1.400097132,1
BMM64,4096,64,10,5,1.500844002,1
BMM64,4096,64,12,1,1.410284042,1
BMM64,4096,64,12,2,1.472809076,1
BMM64,4096,64,12,3,1.462435007,1
BMM64,4096,64,12,4,1.496249199,1
BMM64,4096,64,12,5,1.328591108,1
BMM64,4096,64,14,1,1.215028048,1
BMM64,4096,64,14,2,1.348906040,1
BMM64,4096,64,14,3,1.215581894,1
BMM64,4096,64,14,4,1.213429928,1
BMM64,4096,64,14,5,1.246981144,1
BMM64,4096,64,16,1,1.181688786,1
BMM64,4096,64,16,2,1.198514938,1
BMM64,4096,64,16,3,1.275082111,1
BMM64,4096,64,16,4,1.164814949,1
BMM64,4096,64,16,5,1.185682058,1
